Date,Location,Cases,Area
2019-06-21,Αττική,364,Στερεά Ελλάδα
2019-06-21,Πρέβεζα,17,Ήπειρος
2019-06-23,Αττική,364,Στερεά Ελλάδα
2019-06-24,Αττική,364,Στερεά Ελλάδα
2019-06-26,Αττική,676,Στερεά Ελλάδα
2019-06-28,Πρέβεζα,17,Ήπειρος
2019-07-01,Αττική,364,Στερεά Ελλάδα
2019-07-02,Αττική,364,Στερεά Ελλάδα
2019-07-03,Κως,1,Αιγαίο Πέλαγος
2019-07-03,Κόρινθος,3,Πελοπόννησος
2019-07-03,Λάρισα,1,Θεσσαλία
2019-07-03,Λέσβος,7,Αιγαίο Πέλαγος
2019-07-03,Μεσσηνία,1,Πελοπόννησος
2019-07-03,Πρέβεζα,17,Ήπειρος
2019-07-03,Πιερία,10,Μακεδονία
2019-07-03,Κοζάνη,3,Μακεδονία
2019-07-03,Ρέθυμνο,1,Κρήτη
2019-07-03,Φθιώτιδα,2,Στερεά Ελλάδα
2019-07-03,Φλώρινα,1,Μακεδονία
2019-07-03,Πέλλα,11,Μακεδονία
2019-07-03,Κιλκίς,1,Μακεδονία
2019-07-03,Τρίκαλα,4,Θεσσαλία
2019-07-03,Καρδίτσα,1,Θεσσαλία
2019-07-03,Έβρος,1,Θράκη
2019-07-03,Αττική,271,Στερεά Ελλάδα
2019-07-03,Καστοριά,2,Μακεδονία
2019-07-03,Βοιωτία,1,Στερεά Ελλάδα
2019-07-03,Δράμα,3,Μακεδονία
2019-07-03,Αχαΐα,1,Πελοπόννησος
2019-07-03,Ημαθία,2,Μακεδονία
2019-07-03,Ηράκλειο,7,Κρήτη
2019-07-03,Θεσσαλονίκη,26,Μακεδονία
2019-07-03,Ιωάννινα,1,Ήπειρος
2019-07-03,Κέρκυρα,3,Ιόνιο Πέλαγος
2019-07-03,Εύβοια,2,Στερεά Ελλάδα
2019-07-04,Πρέβεζα,17,Ήπειρος
2019-07-06,Αττική,271,Στερεά Ελλάδα
2019-07-06,Πρέβεζα,17,Ήπειρος
2019-07-09,Πρέβεζα,17,Ήπειρος
2019-07-09,Αττική,364,Στερεά Ελλάδα
2019-07-10,Πρέβεζα,17,Ήπειρος
2019-07-11,Πρέβεζα,17,Ήπειρος
2019-07-12,Αττική,364,Στερεά Ελλάδα
2019-07-14,Αττική,364,Στερεά Ελλάδα
2019-07-14,Πρέβεζα,17,Ήπειρος
2019-07-15,Αττική,364,Στερεά Ελλάδα
2019-07-16,Αττική,364,Στερεά Ελλάδα
2019-07-16,Θεσσαλονίκη,203,Μακεδονία
2019-07-17,Αττική,364,Στερεά Ελλάδα
2019-07-17,Πρέβεζα,17,Ήπειρος
2019-07-18,Πρέβεζα,17,Ήπειρος
2019-07-18,Αττική,364,Στερεά Ελλάδα
2019-07-19,Κιλκίς,1,Μακεδονία
2019-07-19,Χαλκιδική,5,Μακεδονία
2019-07-19,Τρίκαλα,1,Θεσσαλία
2019-07-19,Πιερία,2,Μακεδονία
2019-07-19,Πέλλα,2,Μακεδονία
2019-07-19,Ξάνθη,1,Θράκη
2019-07-19,Λάρισα,7,Θεσσαλία
2019-07-19,Κόρινθος,1,Πελοπόννησος
2019-07-19,Κυκλάδες,2,Αιγαίο Πέλαγος
2019-07-19,Καρδίτσα,2,Θεσσαλία
2019-07-19,Κεφαλλονιά,2,Ιόνιο Πέλαγος
2019-07-19,Καβάλα,2,Μακεδονία
2019-07-19,Κέρκυρα,1,Ιόνιο Πέλαγος
2019-07-19,Ιωάννινα,1,Ήπειρος
2019-07-19,Θεσσαλονίκη,42,Μακεδονία
2019-07-19,Ημαθία,2,Μακεδονία
2019-07-19,Εύβοια,2,Στερεά Ελλάδα
2019-07-19,Βοιωτία,1,Στερεά Ελλάδα
2019-07-19,Αττική,271,Στερεά Ελλάδα
2019-07-19,Αργολίδα,4,Πελοπόννησος
2019-07-19,Έβρος,2,Θράκη
2019-07-22,Αττική,271,Στερεά Ελλάδα
2019-07-25,Αττική,364,Στερεά Ελλάδα
2019-07-26,Αττική,271,Στερεά Ελλάδα
2019-07-27,Αττική,364,Στερεά Ελλάδα
2019-07-28,Αττική,364,Στερεά Ελλάδα
2019-07-29,Αττική,364,Στερεά Ελλάδα
2019-07-31,Αττική,364,Στερεά Ελλάδα
2019-08-04,Αττική,364,Στερεά Ελλάδα
2019-08-06,Αττική,271,Στερεά Ελλάδα
2019-08-07,Πρέβεζα,17,Ήπειρος
2019-08-09,Αττική,271,Στερεά Ελλάδα
2019-08-10,Αττική,364,Στερεά Ελλάδα
2019-08-12,Πρέβεζα,17,Ήπειρος
2019-08-13,Αττική,676,Στερεά Ελλάδα
2019-08-16,Αττική,676,Στερεά Ελλάδα
2019-08-16,Πρέβεζα,17,Ήπειρος
2019-08-17,Αττική,364,Στερεά Ελλάδα
2019-08-19,Αττική,271,Στερεά Ελλάδα
2019-08-19,Πρέβεζα,17,Ήπειρος
2019-08-20,Αττική,364,Στερεά Ελλάδα
2019-08-23,Πρέβεζα,17,Ήπειρος
2019-08-24,Αττική,364,Στερεά Ελλάδα
2019-08-24,Πρέβεζα,17,Ήπειρος
2019-08-26,Πρέβεζα,17,Ήπειρος
2019-08-27,Αττική,364,Στερεά Ελλάδα
2019-08-28,Αττική,364,Στερεά Ελλάδα
2019-08-31,Αττική,364,Στερεά Ελλάδα
2019-08-31,Πρέβεζα,17,Ήπειρος
2019-09-02,Αττική,364,Στερεά Ελλάδα
2019-09-07,Πρέβεζα,17,Ήπειρος
2019-09-08,Αττική,271,Στερεά Ελλάδα
2019-09-09,Αττική,364,Στερεά Ελλάδα
2019-09-12,Αττική,271,Στερεά Ελλάδα
2019-09-13,Αττική,271,Στερεά Ελλάδα
2019-09-14,Πρέβεζα,17,Ήπειρος
2019-09-14,Αττική,364,Στερεά Ελλάδα
2019-09-15,Αττική,364,Στερεά Ελλάδα
2019-09-15,Σέρρες,13,Μακεδονία
2019-09-16,Πρέβεζα,17,Ήπειρος
2019-09-17,Αττική,271,Στερεά Ελλάδα
2019-09-20,Αττική,364,Στερεά Ελλάδα
2019-09-20,Πρέβεζα,17,Ήπειρος
2019-09-23,Αττική,364,Στερεά Ελλάδα
2019-09-24,Αττική,364,Στερεά Ελλάδα
2019-09-25,Αττική,676,Στερεά Ελλάδα
2019-09-25,Πρέβεζα,17,Ήπειρος
2019-09-27,Αττική,364,Στερεά Ελλάδα
2019-09-27,Πρέβεζα,17,Ήπειρος
2019-09-28,Αττική,364,Στερεά Ελλάδα
2019-09-29,Πρέβεζα,17,Ήπειρος
2019-09-30,Πρέβεζα,17,Ήπειρος
2019-09-30,Αττική,364,Στερεά Ελλάδα
2019-10-01,Αττική,364,Στερεά Ελλάδα
2019-10-01,Πρέβεζα,17,Ήπειρος
2019-10-02,Πρέβεζα,17,Ήπειρος
