Date,Location,Cases,Area
2020-09-16,Κόρινθος,3,Πελοπόννησος
2020-09-16,Λάρισα,1,Θεσσαλία
2020-09-16,Λέσβος,15,Αιγαίο Πέλαγος
2020-09-16,Μεσσηνία,1,Πελοπόννησος
2020-09-16,Μύκονος,1,Αιγαίο Πέλαγος
2020-09-16,Πέλλα,11,Μακεδονία
2020-09-16,Πιερία,10,Μακεδονία
2020-09-16,Πρέβεζα,17,Ήπειρος
2020-09-16,Φλώρινα,1,Μακεδονία
2020-09-16,Σάμος,2,Αιγαίο Πέλαγος
2020-09-16,Σαντορίνη,1,Αιγαίο Πέλαγος
2020-09-16,Τρίκαλα,4,Θεσσαλία
2020-09-16,Φθιώτιδα,2,Στερεά Ελλάδα
2020-09-16,Κως,1,Αιγαίο Πέλαγος
2020-09-16,Ρέθυμνο,3,Κρήτη
2020-09-16,Ρόδος,2,Αιγαίο Πέλαγος
2020-09-16,Κοζάνη,4,Μακεδονία
2020-09-16,Κεφαλλονιά,2,Ιόνιο Πέλαγος
2020-09-16,Κιλκίς,1,Μακεδονία
2020-09-16,Έβρος,1,Θράκη
2020-09-16,Αργολίδα,1,Πελοπόννησος
2020-09-16,Αττική,364,Στερεά Ελλάδα
2020-09-16,Αχαΐα,4,Πελοπόννησος
2020-09-16,Δράμα,3,Μακεδονία
2020-09-16,Εύβοια,2,Στερεά Ελλάδα
2020-09-16,Βοιωτία,1,Στερεά Ελλάδα
2020-09-16,Ημαθία,3,Μακεδονία
2020-09-16,Ηράκλειο,7,Κρήτη
2020-09-16,Θεσσαλονίκη,26,Μακεδονία
2020-09-16,Ιωάννινα,3,Ήπειρος
2020-09-16,Κέρκυρα,3,Ιόνιο Πέλαγος
2020-09-16,Καρδίτσα,2,Θεσσαλία
2020-09-16,Καστοριά,2,Μακεδονία
2020-09-16,Ηλεία,1,Πελοπόννησος
2020-09-17,Πάρος,1,Αιγαίο Πέλαγος
2020-09-17,Λακωνία,1,Πελοπόννησος
2020-09-17,Μαγνησία,1,Θεσσαλία
2020-09-17,Χανιά,1,Κρήτη
2020-09-17,Νάξος & Μικρές Κυκλάδες,1,Αιγαίο Πέλαγος
2020-09-17,Ξάνθη,2,Θράκη
2020-09-17,Πέλλα,7,Μακεδονία
2020-09-17,Λέσβος,6,Αιγαίο Πέλαγος
2020-09-17,Πρέβεζα,17,Ήπειρος
2020-09-17,Ρέθυμνο,1,Κρήτη
2020-09-17,Σάμος,1,Αιγαίο Πέλαγος
2020-09-17,Σαντορίνη,1,Αιγαίο Πέλαγος
2020-09-17,Τρίκαλα,7,Θεσσαλία
2020-09-17,Χίος,1,Αιγαίο Πέλαγος
2020-09-17,Χαλκιδική,1,Μακεδονία
2020-09-17,Πιερία,10,Μακεδονία
2020-09-17,Λάρισα,2,Θεσσαλία
2020-09-17,Κέρκυρα,1,Ιόνιο Πέλαγος
2020-09-17,Κοζάνη,5,Μακεδονία
2020-09-17,Κόρινθος,1,Πελοπόννησος
2020-09-17,Έβρος,1,Θράκη
2020-09-17,Αιτωλοακαρνανία,1,Στερεά Ελλάδα
2020-09-17,Αργολίδα,1,Πελοπόννησος
2020-09-17,Αχαΐα,1,Πελοπόννησος
2020-09-17,Βοιωτία,1,Στερεά Ελλάδα
2020-09-17,Γρεβενά,1,Μακεδονία
2020-09-17,Αττική,364,Στερεά Ελλάδα
2020-09-17,Ηράκλειο,3,Κρήτη
2020-09-17,Θεσσαλονίκη,26,Μακεδονία
2020-09-17,Ιωάννινα,3,Ήπειρος
2020-09-17,Κάλυμνος,2,Αιγαίο Πέλαγος
2020-09-17,Καβάλα,1,Μακεδονία
2020-09-17,Καρδίτσα,1,Θεσσαλία
2020-09-17,Καστοριά,3,Μακεδονία
2020-09-17,Ημαθία,5,Μακεδονία
2020-09-18,Πιερία,10,Μακεδονία
2020-09-18,Λακωνία,1,Πελοπόννησος
2020-09-18,Μαγνησία,2,Θεσσαλία
2020-09-18,Νάξος & Μικρές Κυκλάδες,1,Αιγαίο Πέλαγος
2020-09-18,Ξάνθη,2,Θράκη
2020-09-18,Πάρος,1,Αιγαίο Πέλαγος
2020-09-18,Πέλλα,7,Μακεδονία
2020-09-18,Πρέβεζα,17,Ήπειρος
2020-09-18,Χαλκιδική,3,Μακεδονία
2020-09-18,Ρόδος,3,Αιγαίο Πέλαγος
2020-09-18,Σάμος,7,Αιγαίο Πέλαγος
2020-09-18,Σαντορίνη,1,Αιγαίο Πέλαγος
2020-09-18,Τρίκαλα,11,Θεσσαλία
2020-09-18,Φθιώτιδα,1,Στερεά Ελλάδα
2020-09-18,Φλώρινα,1,Μακεδονία
2020-09-18,Χίος,1,Αιγαίο Πέλαγος
2020-09-18,Λέσβος,13,Αιγαίο Πέλαγος
2020-09-18,Ρέθυμνο,1,Κρήτη
2020-09-18,Λάρισα,17,Θεσσαλία
2020-09-18,Χανιά,1,Κρήτη
2020-09-18,Κοζάνη,9,Μακεδονία
2020-09-18,Κόρινθος,3,Πελοπόννησος
2020-09-18,Αιτωλοακαρνανία,1,Στερεά Ελλάδα
2020-09-18,Αργολίδα,1,Πελοπόννησος
2020-09-18,Αττική,676,Στερεά Ελλάδα
2020-09-18,Αχαΐα,2,Πελοπόννησος
2020-09-18,Βοιωτία,1,Στερεά Ελλάδα
2020-09-18,Γρεβενά,1,Μακεδονία
2020-09-18,Εύβοια,1,Στερεά Ελλάδα
2020-09-18,Ημαθία,5,Μακεδονία
2020-09-18,Έβρος,2,Θράκη
2020-09-18,Θεσσαλονίκη,18,Μακεδονία
2020-09-18,Ιωάννινα,7,Ήπειρος
2020-09-18,Κάλυμνος,2,Αιγαίο Πέλαγος
2020-09-18,Κέρκυρα,1,Ιόνιο Πέλαγος
2020-09-18,Καβάλα,2,Μακεδονία
2020-09-18,Καρδίτσα,1,Θεσσαλία
2020-09-18,Καστοριά,3,Μακεδονία
2020-09-18,Κιλκίς,2,Μακεδονία
2020-09-18,Ηράκλειο,3,Κρήτη
2020-09-19,Λέσβος,22,Αιγαίο Πέλαγος
2020-09-19,Μαγνησία,2,Θεσσαλία
2020-09-19,Μεσσηνία,1,Πελοπόννησος
2020-09-19,Πέλλα,4,Μακεδονία
2020-09-19,Πιερία,6,Μακεδονία
2020-09-19,Πρέβεζα,17,Ήπειρος
2020-09-19,Ρέθυμνο,2,Κρήτη
2020-09-19,Φθιώτιδα,1,Στερεά Ελλάδα
2020-09-19,Σάμος,7,Αιγαίο Πέλαγος
2020-09-19,Σαντορίνη,1,Αιγαίο Πέλαγος
2020-09-19,Τρίκαλα,11,Θεσσαλία
2020-09-19,Φλώρινα,1,Μακεδονία
2020-09-19,Χίος,30,Αιγαίο Πέλαγος
2020-09-19,Χαλκιδική,3,Μακεδονία
2020-09-19,Χανιά,2,Κρήτη
2020-09-19,Ρόδος,3,Αιγαίο Πέλαγος
2020-09-19,Κόρινθος,3,Πελοπόννησος
2020-09-19,Λάρισα,17,Θεσσαλία
2020-09-19,Κιλκίς,2,Μακεδονία
2020-09-19,Κοζάνη,9,Μακεδονία
2020-09-19,Έβρος,2,Θράκη
2020-09-19,Αττική,364,Στερεά Ελλάδα
2020-09-19,Αχαΐα,4,Πελοπόννησος
2020-09-19,Γρεβενά,1,Μακεδονία
2020-09-19,Ευρυτανία,1,Στερεά Ελλάδα
2020-09-19,Ημαθία,4,Μακεδονία
2020-09-19,Εύβοια,1,Στερεά Ελλάδα
2020-09-19,Θεσσαλονίκη,12,Μακεδονία
2020-09-19,Ιωάννινα,12,Ήπειρος
2020-09-19,Κάλυμνος,1,Αιγαίο Πέλαγος
2020-09-19,Κέρκυρα,1,Ιόνιο Πέλαγος
2020-09-19,Καβάλα,2,Μακεδονία
2020-09-19,Καρδίτσα,2,Θεσσαλία
2020-09-19,Καστοριά,3,Μακεδονία
2020-09-19,Ηράκλειο,3,Κρήτη
2020-09-20,Πιερία,4,Μακεδονία
2020-09-20,Τρίκαλα,1,Θεσσαλία
2020-09-20,Σάμος,89,Αιγαίο Πέλαγος
2020-09-20,Πρέβεζα,17,Ήπειρος
2020-09-20,Πειραιάς,16,Στερεά Ελλάδα
2020-09-20,Ιωάννινα,1,Ήπειρος
2020-09-20,Κόρινθος,2,Πελοπόννησος
2020-09-20,Κάλυμνος,1,Αιγαίο Πέλαγος
2020-09-20,Θεσσαλονίκη,11,Μακεδονία
2020-09-20,Αττική,676,Στερεά Ελλάδα
2020-09-20,Πέλλα,3,Μακεδονία
2020-09-21,Λάρισα,7,Θεσσαλία
2020-09-21,Φωκίδα,1,Στερεά Ελλάδα
2020-09-21,Φθιώτιδα,1,Στερεά Ελλάδα
2020-09-21,Τρίκαλα,18,Θεσσαλία
2020-09-21,Σέρρες,1,Μακεδονία
2020-09-21,Σάμος,89,Αιγαίο Πέλαγος
2020-09-21,Ρέθυμνο,1,Κρήτη
2020-09-21,Πρέβεζα,17,Ήπειρος
2020-09-21,Πέλλα,3,Μακεδονία
2020-09-21,Λέσβος,243,Αιγαίο Πέλαγος
2020-09-21,Κόρινθος,2,Πελοπόννησος
2020-09-21,Πιερία,4,Μακεδονία
2020-09-21,Καρδίτσα,1,Θεσσαλία
2020-09-21,Αθήνα,966,Στερεά Ελλάδα
2020-09-21,Αργολίδα,1,Πελοπόννησος
2020-09-21,Αττική,969,Στερεά Ελλάδα
2020-09-21,Ζάκυνθος,1,Ιόνιο Πέλαγος
2020-09-21,Αρκαδία,5,Πελοπόννησος
2020-09-21,Θεσσαλονίκη,11,Μακεδονία
2020-09-21,Κοζάνη,1,Μακεδονία
2020-09-21,Ιωάννινα,1,Ήπειρος
2020-09-21,Κάλυμνος,1,Αιγαίο Πέλαγος
2020-09-21,Ηλεία,1,Πελοπόννησος
2020-09-22,Πέλλα,2,Μακεδονία
2020-09-22,Κως,1,Αιγαίο Πέλαγος
2020-09-22,Κόρινθος,2,Πελοπόννησος
2020-09-22,Λέσβος,184,Αιγαίο Πέλαγος
2020-09-22,Λασίθι,2,Κρήτη
2020-09-22,Ξάνθη,2,Θράκη
2020-09-22,Πιερία,4,Μακεδονία
2020-09-22,Τρίκαλα,18,Θεσσαλία
2020-09-22,Ρέθυμνο,1,Κρήτη
2020-09-22,Σάμος,7,Αιγαίο Πέλαγος
2020-09-22,Σέρρες,1,Μακεδονία
2020-09-22,Σαντορίνη,1,Αιγαίο Πέλαγος
2020-09-22,Κοζάνη,11,Μακεδονία
2020-09-22,Φθιώτιδα,2,Στερεά Ελλάδα
2020-09-22,Φωκίδα,1,Στερεά Ελλάδα
2020-09-22,Πρέβεζα,17,Ήπειρος
2020-09-22,Κιλκίς,2,Μακεδονία
2020-09-22,Λάρισα,7,Θεσσαλία
2020-09-22,Καστοριά,2,Μακεδονία
2020-09-22,Κεφαλλονιά,1,Ιόνιο Πέλαγος
2020-09-22,Έβρος,1,Θράκη
2020-09-22,Αργολίδα,5,Πελοπόννησος
2020-09-22,Αρκαδία,5,Πελοπόννησος
2020-09-22,Αττική,364,Στερεά Ελλάδα
2020-09-22,Γρεβενά,2,Μακεδονία
2020-09-22,Ζάκυνθος,1,Ιόνιο Πέλαγος
2020-09-22,Ηλεία,1,Πελοπόννησος
2020-09-22,Αχαΐα,5,Πελοπόννησος
2020-09-22,Ηράκλειο,6,Κρήτη
2020-09-22,Θεσσαλονίκη,19,Μακεδονία
2020-09-22,Ιωάννινα,2,Ήπειρος
2020-09-22,Κέρκυρα,3,Ιόνιο Πέλαγος
2020-09-22,Καβάλα,1,Μακεδονία
2020-09-22,Καρδίτσα,1,Θεσσαλία
2020-09-22,Ημαθία,5,Μακεδονία
2020-09-23,Πέλλα,7,Μακεδονία
2020-09-23,Λέσβος,17,Αιγαίο Πέλαγος
2020-09-23,Λακωνία,2,Πελοπόννησος
2020-09-23,Λασίθι,2,Κρήτη
2020-09-23,Λευκάδα,1,Ιόνιο Πέλαγος
2020-09-23,Μαγνησία,1,Θεσσαλία
2020-09-23,Ξάνθη,2,Θράκη
2020-09-23,Πιερία,4,Μακεδονία
2020-09-23,Χαλκιδική,1,Μακεδονία
2020-09-23,Ρέθυμνο,1,Κρήτη
2020-09-23,Ρόδος,1,Αιγαίο Πέλαγος
2020-09-23,Σάμος,17,Αιγαίο Πέλαγος
2020-09-23,Σέρρες,1,Μακεδονία
2020-09-23,Σαντορίνη,1,Αιγαίο Πέλαγος
2020-09-23,Τρίκαλα,13,Θεσσαλία
2020-09-23,Φθιώτιδα,2,Στερεά Ελλάδα
2020-09-23,Λάρισα,7,Θεσσαλία
2020-09-23,Πρέβεζα,17,Ήπειρος
2020-09-23,Κόρινθος,1,Πελοπόννησος
2020-09-23,Κύθνος,1,Αιγαίο Πέλαγος
2020-09-23,Έβρος,1,Θράκη
2020-09-23,Κως,1,Αιγαίο Πέλαγος
2020-09-23,Αιτωλοακαρνανία,2,Στερεά Ελλάδα
2020-09-23,Αργολίδα,5,Πελοπόννησος
2020-09-23,Αττική,364,Στερεά Ελλάδα
2020-09-23,Αχαΐα,5,Πελοπόννησος
2020-09-23,Ηλεία,1,Πελοπόννησος
2020-09-23,Ημαθία,5,Μακεδονία
2020-09-23,Ηράκλειο,6,Κρήτη
2020-09-23,Γρεβενά,2,Μακεδονία
2020-09-23,Ιωάννινα,2,Ήπειρος
2020-09-23,Κέρκυρα,3,Ιόνιο Πέλαγος
2020-09-23,Καβάλα,1,Μακεδονία
2020-09-23,Καρδίτσα,3,Θεσσαλία
2020-09-23,Καστοριά,2,Μακεδονία
2020-09-23,Κεφαλλονιά,1,Ιόνιο Πέλαγος
2020-09-23,Κιλκίς,2,Μακεδονία
2020-09-23,Θεσσαλονίκη,19,Μακεδονία
2020-09-23,Κοζάνη,11,Μακεδονία
2020-09-24,Ρέθυμνο,1,Κρήτη
2020-09-24,Πρέβεζα,17,Ήπειρος
2020-09-24,Πιερία,1,Μακεδονία
2020-09-24,Ξάνθη,1,Θράκη
2020-09-24,Πάρος,1,Αιγαίο Πέλαγος
2020-09-24,Ρόδος,2,Αιγαίο Πέλαγος
2020-09-24,Πέλλα,7,Μακεδονία
2020-09-24,Σάμος,17,Αιγαίο Πέλαγος
2020-09-24,Κόρινθος,1,Πελοπόννησος
2020-09-24,Σύρος - Ερμούπολη,1,Αιγαίο Πέλαγος
2020-09-24,Τήνος,1,Αιγαίο Πέλαγος
2020-09-24,Τρίκαλα,194,Θεσσαλία
2020-09-24,Φθιώτιδα,6,Στερεά Ελλάδα
2020-09-24,Φλώρινα,1,Μακεδονία
2020-09-24,Χίος,1,Αιγαίο Πέλαγος
2020-09-24,Χαλκιδική,1,Μακεδονία
2020-09-24,Μεσσηνία,1,Πελοπόννησος
2020-09-24,Σέρρες,7,Μακεδονία
2020-09-24,Μαγνησία,1,Θεσσαλία
2020-09-24,Καρδίτσα,3,Θεσσαλία
2020-09-24,Λακωνία,2,Πελοπόννησος
2020-09-24,Αιτωλοακαρνανία,2,Στερεά Ελλάδα
2020-09-24,Αργολίδα,4,Πελοπόννησος
2020-09-24,Αττική,508,Στερεά Ελλάδα
2020-09-24,Αχαΐα,4,Πελοπόννησος
2020-09-24,Βοιωτία,4,Στερεά Ελλάδα
2020-09-24,Γρεβενά,1,Μακεδονία
2020-09-24,Εύβοια,2,Στερεά Ελλάδα
2020-09-24,Λευκάδα,1,Ιόνιο Πέλαγος
2020-09-24,Ημαθία,1,Μακεδονία
2020-09-24,Θεσσαλονίκη,11,Μακεδονία
2020-09-24,Ιωάννινα,7,Ήπειρος
2020-09-24,Καστοριά,3,Μακεδονία
2020-09-24,Κοζάνη,1,Μακεδονία
2020-09-24,Κύθνος,1,Αιγαίο Πέλαγος
2020-09-24,Λάρισα,7,Θεσσαλία
2020-09-24,Λέσβος,17,Αιγαίο Πέλαγος
2020-09-24,Ηράκλειο,4,Κρήτη
2020-09-25,Πάρος,241,Αιγαίο Πέλαγος
2020-09-25,Κοζάνη,7,Μακεδονία
2020-09-25,Κόρινθος,2,Πελοπόννησος
2020-09-25,Πιερία,2,Μακεδονία
2020-09-25,Καστοριά,4,Μακεδονία
2020-09-25,Σάμος,5,Αιγαίο Πέλαγος
2020-09-25,Σέρρες,1,Μακεδονία
2020-09-25,Τρίκαλα,18,Θεσσαλία
2020-09-25,Φλώρινα,1,Μακεδονία
2020-09-25,Πρέβεζα,17,Ήπειρος
2020-09-25,Καρδίτσα,1,Θεσσαλία
2020-09-25,Αιτωλοακαρνανία,1,Στερεά Ελλάδα
2020-09-25,Κάλυμνος,4,Αιγαίο Πέλαγος
2020-09-25,Ιωάννινα,6,Ήπειρος
2020-09-25,Θεσσαλονίκη,11,Μακεδονία
2020-09-25,Ηράκλειο,2,Κρήτη
2020-09-25,Γρεβενά,2,Μακεδονία
2020-09-25,Βοιωτία,3,Στερεά Ελλάδα
2020-09-25,Αχαΐα,3,Πελοπόννησος
2020-09-25,Αττική,1726,Στερεά Ελλάδα
2020-09-25,Κέρκυρα,2,Ιόνιο Πέλαγος
2020-09-25,Αθήνα,900,Στερεά Ελλάδα
2020-09-26,Λάρισα,4,Θεσσαλία
2020-09-26,Λακωνία,32,Πελοπόννησος
2020-09-26,Πέλλα,5,Μακεδονία
2020-09-26,Πιερία,5,Μακεδονία
2020-09-26,Πρέβεζα,17,Ήπειρος
2020-09-26,Φλώρινα,1,Μακεδονία
2020-09-26,Σάμος,5,Αιγαίο Πέλαγος
2020-09-26,Σέρρες,1,Μακεδονία
2020-09-26,Τρίκαλα,18,Θεσσαλία
2020-09-26,Κόρινθος,2,Πελοπόννησος
2020-09-26,Χαλκιδική,2,Μακεδονία
2020-09-26,Ρόδος,1,Αιγαίο Πέλαγος
2020-09-26,Καστοριά,4,Μακεδονία
2020-09-26,Κοζάνη,7,Μακεδονία
2020-09-26,Κέρκυρα,2,Ιόνιο Πέλαγος
2020-09-26,Καρδίτσα,5,Θεσσαλία
2020-09-26,Αθήνα,900,Στερεά Ελλάδα
2020-09-26,Αιτωλοακαρνανία,1,Στερεά Ελλάδα
2020-09-26,Αττική,364,Στερεά Ελλάδα
2020-09-26,Αχαΐα,6,Πελοπόννησος
2020-09-26,Βοιωτία,5,Στερεά Ελλάδα
2020-09-26,Έβρος,1,Θράκη
2020-09-26,Ημαθία,1,Μακεδονία
2020-09-26,Ηράκλειο,2,Κρήτη
2020-09-26,Θεσσαλονίκη,17,Μακεδονία
2020-09-26,Ιωάννινα,6,Ήπειρος
2020-09-26,Κάλυμνος,4,Αιγαίο Πέλαγος
2020-09-26,Γρεβενά,2,Μακεδονία
2020-09-27,Λακωνία,34,Πελοπόννησος
2020-09-27,Μαγνησία,2,Θεσσαλία
2020-09-27,Χαλκιδική,2,Μακεδονία
2020-09-27,Νάξος & Μικρές Κυκλάδες,1,Αιγαίο Πέλαγος
2020-09-27,Πέλλα,5,Μακεδονία
2020-09-27,Πιερία,5,Μακεδονία
2020-09-27,Σάμος,5,Αιγαίο Πέλαγος
2020-09-27,Ρόδος,1,Αιγαίο Πέλαγος
2020-09-27,Σέρρες,1,Μακεδονία
2020-09-27,Τήνος,1,Αιγαίο Πέλαγος
2020-09-27,Τρίκαλα,11,Θεσσαλία
2020-09-27,Λάρισα,4,Θεσσαλία
2020-09-27,Πρέβεζα,17,Ήπειρος
2020-09-27,Κοζάνη,4,Μακεδονία
2020-09-27,Μεσσηνία,1,Πελοπόννησος
2020-09-27,Καρδίτσα,5,Θεσσαλία
2020-09-27,Έβρος,1,Θράκη
2020-09-27,Αθήνα,2500,Στερεά Ελλάδα
2020-09-27,Αιτωλοακαρνανία,1,Στερεά Ελλάδα
2020-09-27,Αττική,364,Στερεά Ελλάδα
2020-09-27,Αχαΐα,6,Πελοπόννησος
2020-09-27,Βοιωτία,5,Στερεά Ελλάδα
2020-09-27,Καστοριά,3,Μακεδονία
2020-09-27,Εύβοια,2,Στερεά Ελλάδα
2020-09-27,Ημαθία,1,Μακεδονία
2020-09-27,Ηράκλειο,1,Κρήτη
2020-09-27,Θεσσαλονίκη,17,Μακεδονία
2020-09-27,Ιωάννινα,6,Ήπειρος
2020-09-27,Γρεβενά,1,Μακεδονία
2020-09-28,Μαγνησία,2,Θεσσαλία
2020-09-28,Μεσσηνία,1,Πελοπόννησος
2020-09-28,Νάξος & Μικρές Κυκλάδες,1,Αιγαίο Πέλαγος
2020-09-28,Πάρος,1,Αιγαίο Πέλαγος
2020-09-28,Πέλλα,5,Μακεδονία
2020-09-28,Πειραιάς,12,Στερεά Ελλάδα
2020-09-28,Πιερία,3,Μακεδονία
2020-09-28,Σάμος,5,Αιγαίο Πέλαγος
2020-09-28,Ρόδος,1,Αιγαίο Πέλαγος
2020-09-28,Σαντορίνη,1,Αιγαίο Πέλαγος
2020-09-28,Τήνος,1,Αιγαίο Πέλαγος
2020-09-28,Τρίκαλα,8,Θεσσαλία
2020-09-28,Λακωνία,37,Πελοπόννησος
2020-09-28,Φλώρινα,1,Μακεδονία
2020-09-28,Χερσόνησος,12,Κρήτη
2020-09-28,Πρέβεζα,17,Ήπειρος
2020-09-28,Φθιώτιδα,2,Στερεά Ελλάδα
2020-09-28,Λάρισα,3,Θεσσαλία
2020-09-28,Κοζάνη,5,Μακεδονία
2020-09-28,Έβρος,1,Θράκη
2020-09-28,Λέσβος,1,Αιγαίο Πέλαγος
2020-09-28,Αιτωλοακαρνανία,1,Στερεά Ελλάδα
2020-09-28,Αργολίδα,1,Πελοπόννησος
2020-09-28,Αττική,364,Στερεά Ελλάδα
2020-09-28,Αχαΐα,2,Πελοπόννησος
2020-09-28,Βοιωτία,1,Στερεά Ελλάδα
2020-09-28,Αθήνα,28,Στερεά Ελλάδα
2020-09-28,Δράμα,2,Μακεδονία
2020-09-28,Εύβοια,3,Στερεά Ελλάδα
2020-09-28,Ηράκλειο,12,Κρήτη
2020-09-28,Θεσσαλονίκη,8,Μακεδονία
2020-09-28,Ιωάννινα,12,Ήπειρος
2020-09-28,Καρδίτσα,3,Θεσσαλία
2020-09-28,Καστοριά,2,Μακεδονία
2020-09-28,Γρεβενά,1,Μακεδονία
2020-09-29,Λέσβος,1,Αιγαίο Πέλαγος
2020-09-29,Λακωνία,39,Πελοπόννησος
2020-09-29,Φλώρινα,1,Μακεδονία
2020-09-29,Πάρος,1,Αιγαίο Πέλαγος
2020-09-29,Πειραιάς,12,Στερεά Ελλάδα
2020-09-29,Τρίκαλα,7,Θεσσαλία
2020-09-29,Σάμος,18,Αιγαίο Πέλαγος
2020-09-29,Σαντορίνη,1,Αιγαίο Πέλαγος
2020-09-29,Φθιώτιδα,2,Στερεά Ελλάδα
2020-09-29,Λάρισα,3,Θεσσαλία
2020-09-29,Πρέβεζα,17,Ήπειρος
2020-09-29,Κοζάνη,5,Μακεδονία
2020-09-29,Εύβοια,3,Στερεά Ελλάδα
2020-09-29,Καρδίτσα,4,Θεσσαλία
2020-09-29,Ιωάννινα,12,Ήπειρος
2020-09-29,Θεσσαλονίκη,12,Μακεδονία
2020-09-29,Ευρώτας,37,Πελοπόννησος
2020-09-29,Δράμα,2,Μακεδονία
2020-09-29,Βοιωτία,2,Στερεά Ελλάδα
2020-09-29,Αχαΐα,5,Πελοπόννησος
2020-09-29,Αττική,676,Στερεά Ελλάδα
2020-09-29,Αργολίδα,1,Πελοπόννησος
2020-09-29,Αιτωλοακαρνανία,1,Στερεά Ελλάδα
2020-09-29,Καστοριά,1,Μακεδονία
2020-09-30,Λακωνία,2,Πελοπόννησος
2020-09-30,Μαρούσι,19,Στερεά Ελλάδα
2020-09-30,Πιερία,5,Μακεδονία
2020-09-30,Πρέβεζα,17,Ήπειρος
2020-09-30,Ρόδος,1,Αιγαίο Πέλαγος
2020-09-30,Φλώρινα,2,Μακεδονία
2020-09-30,Σέρρες,3,Μακεδονία
2020-09-30,Σαντορίνη,1,Αιγαίο Πέλαγος
2020-09-30,Τρίκαλα,8,Θεσσαλία
2020-09-30,Φθιώτιδα,1,Στερεά Ελλάδα
2020-09-30,Λέσβος,2,Αιγαίο Πέλαγος
2020-09-30,Σάμος,2,Αιγαίο Πέλαγος
2020-09-30,Λάρισα,6,Θεσσαλία
2020-09-30,Πέλλα,13,Μακεδονία
2020-09-30,Καστοριά,6,Μακεδονία
2020-09-30,Κοζάνη,5,Μακεδονία
2020-09-30,Αθήνα,30,Στερεά Ελλάδα
2020-09-30,Αρκαδία,1,Πελοπόννησος
2020-09-30,Αχαΐα,9,Πελοπόννησος
2020-09-30,Βοιωτία,4,Στερεά Ελλάδα
2020-09-30,Δράμα,1,Μακεδονία
2020-09-30,Αττική,364,Στερεά Ελλάδα
2020-09-30,Ημαθία,3,Μακεδονία
2020-09-30,Ηράκλειο,5,Κρήτη
2020-09-30,Θεσσαλονίκη,195,Μακεδονία
2020-09-30,Ιωάννινα,4,Ήπειρος
2020-09-30,Καρδίτσα,10,Θεσσαλία
2020-09-30,Εύβοια,3,Στερεά Ελλάδα
2020-10-01,Λέσβος,5,Αιγαίο Πέλαγος
2020-10-01,Πιερία,6,Μακεδονία
2020-10-01,Λακωνία,2,Πελοπόννησος
2020-10-01,Μαγνησία,1,Θεσσαλία
2020-10-01,Μεσσηνία,1,Πελοπόννησος
2020-10-01,Μύκονος,1,Αιγαίο Πέλαγος
2020-10-01,Νάξος & Μικρές Κυκλάδες,1,Αιγαίο Πέλαγος
2020-10-01,Πέλλα,13,Μακεδονία
2020-10-01,Πρέβεζα,17,Ήπειρος
2020-10-01,Φθιώτιδα,2,Στερεά Ελλάδα
2020-10-01,Ρόδος,1,Αιγαίο Πέλαγος
2020-10-01,Σάμος,2,Αιγαίο Πέλαγος
2020-10-01,Σέρρες,3,Μακεδονία
2020-10-01,Σαντορίνη,2,Αιγαίο Πέλαγος
2020-10-01,Τρίκαλα,8,Θεσσαλία
2020-10-01,Φλώρινα,2,Μακεδονία
2020-10-01,Χίος,1,Αιγαίο Πέλαγος
2020-10-01,Χαλκιδική,1,Μακεδονία
2020-10-01,Λάρισα,6,Θεσσαλία
2020-10-01,Ροδόπη,2,Θράκη
2020-10-01,Κύθνος,1,Αιγαίο Πέλαγος
2020-10-01,Ημαθία,3,Μακεδονία
2020-10-01,Κοζάνη,6,Μακεδονία
2020-10-01,Αθήνα,32,Στερεά Ελλάδα
2020-10-01,Κόρινθος,3,Πελοπόννησος
2020-10-01,Αργολίδα,1,Πελοπόννησος
2020-10-01,Αρκαδία,1,Πελοπόννησος
2020-10-01,Αττική,4000,Στερεά Ελλάδα
2020-10-01,Αχαΐα,272,Πελοπόννησος
2020-10-01,Βοιωτία,9,Στερεά Ελλάδα
2020-10-01,Γρεβενά,3,Μακεδονία
2020-10-01,Δράμα,1,Μακεδονία
2020-10-01,Εύβοια,3,Στερεά Ελλάδα
2020-10-01,Αιτωλοακαρνανία,2,Στερεά Ελλάδα
2020-10-01,Καστοριά,6,Μακεδονία
2020-10-01,Ηράκλειο,5,Κρήτη
2020-10-01,Θήβα,63,Στερεά Ελλάδα
2020-10-01,Θεσσαλονίκη,195,Μακεδονία
2020-10-01,Ιωάννινα,4,Ήπειρος
2020-10-01,Κέρκυρα,2,Ιόνιο Πέλαγος
2020-10-01,Καβάλα,1,Μακεδονία
2020-10-01,Καρδίτσα,10,Θεσσαλία
2020-10-01,Ζάκυνθος,1,Ιόνιο Πέλαγος
2020-10-02,Ξάνθη,1,Θράκη
2020-10-02,Νάξος & Μικρές Κυκλάδες,1,Αιγαίο Πέλαγος
2020-10-02,Μύκονος,1,Αιγαίο Πέλαγος
2020-10-02,Λέσβος,5,Αιγαίο Πέλαγος
2020-10-02,Μαγνησία,1,Θεσσαλία
2020-10-02,Λευκάδα,1,Ιόνιο Πέλαγος
2020-10-02,Πέλλα,117,Μακεδονία
2020-10-02,Μεσσηνία,1,Πελοπόννησος
2020-10-02,Πιερία,6,Μακεδονία
